route_name,uri,http_methods,controller_class,controller_method,middleware_resolved,active_backoffice_present,mfa_backoffice_present,log_backoffice_present,role_middleware_active,role_middleware_excluded,permission_middleware,permission_catalog_exists,semantic_permission_available,permission_recommendation,permission_semantically_adequate,policy_class,policy_ability,policy_ability_source,form_request,form_request_authorize,feature_entitlement,feature_required,feature_key,municipality_source,municipal_record_scope,fail_closed_without_municipality,platform_route,municipal_route,mixed_context_route,record_model,operation_type,mfa_sensitive,audit_requirement,audit_implementation,private_data,bounded_context,bounded_context_label,target_sprint,risk,confidence,test_coverage,test_sources,source,migration_recommendation
backoffice.security.backups.index,backoffice/security/backups,GET,"App\Http\Controllers\Backoffice\Security\SecurityOperationsController",backups,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,,,missing,,none,,0,,authenticated_user,candidate,,0,1,0,,read,1,recommended,unknown,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source,remove_fixed_role;define_semantic_permission;preserve_active_mfa_log;add_http_security_tests
backoffice.security.backups.store,backoffice/security/backups,POST,"App\Http\Controllers\Backoffice\Security\SecurityOperationsController",storeBackupReview,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,,,missing,"App\Http\Requests\StoreBackupReviewRequest",custom,,0,,authenticated_user,candidate,,0,1,0,,mutation,1,required,missing,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection,remove_fixed_role;define_semantic_permission;preserve_active_mfa_log;add_http_security_tests
backoffice.security.checklist-items.update,backoffice/security/checklist-items/{securityChecklistItem},PUT|PATCH,"App\Http\Controllers\Backoffice\Security\SecurityOperationsController",updateChecklistItem,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,,,missing,"App\Http\Requests\UpdateSecurityChecklistItemRequest",custom,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\SecurityChecklistItem",mutation,1,required,missing,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection,remove_fixed_role;define_semantic_permission;add_policy;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.security.checklists.approve,backoffice/security/checklists/{securityChecklist}/approve,POST,"App\Http\Controllers\Backoffice\Security\SecurityOperationsController",approveChecklist,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,"App\Policies\SecurityChecklistPolicy",view,inferred,,none,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\SecurityChecklist",mutation,1,required,missing,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery,remove_fixed_role;define_semantic_permission;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.security.checklists.index,backoffice/security/checklists,GET,"App\Http\Controllers\Backoffice\Security\SecurityOperationsController",checklists,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,,,missing,,none,,0,,authenticated_user,candidate,,0,1,0,,read,1,recommended,unknown,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source,remove_fixed_role;define_semantic_permission;preserve_active_mfa_log;add_http_security_tests
backoffice.security.checklists.show,backoffice/security/checklists/{securityChecklist},GET,"App\Http\Controllers\Backoffice\Security\SecurityOperationsController",showChecklist,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,"App\Policies\SecurityChecklistPolicy",view,inferred,,none,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\SecurityChecklist",read,1,recommended,unknown,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery,remove_fixed_role;define_semantic_permission;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.security.checklists.store,backoffice/security/checklists,POST,"App\Http\Controllers\Backoffice\Security\SecurityOperationsController",storeChecklist,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,,,missing,"App\Http\Requests\StoreSecurityChecklistRequest",custom,,0,,authenticated_user,candidate,,0,1,0,,mutation,1,required,missing,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection,remove_fixed_role;define_semantic_permission;preserve_active_mfa_log;add_http_security_tests
backoffice.security.dashboard,backoffice/security,GET,"App\Http\Controllers\Backoffice\Security\SecurityDashboardController",__invoke,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,,,missing,,none,,,,dynamic_domain_context,candidate,,0,0,1,,read,1,recommended,unknown,1,administration_security,"Administração e segurança",47A,critical,low,route_name_reference,tests/Feature/Security/AuthorizationFeedbackDirectUrlTest.php|tests/Feature/Security/MfaEnforcementBackofficeTest.php|tests/Feature/Security/PermissionMatrixTest.php|tests/Feature/Sprint18RgpdSecurityAuditTest.php,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|existing_test_route_reference,remove_fixed_role;define_semantic_permission;preserve_active_mfa_log;add_http_security_tests
backoffice.security.encrypted-fields.index,backoffice/security/encrypted-fields,GET,"App\Http\Controllers\Backoffice\Security\SecurityOperationsController",encryptedFields,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,,,missing,,none,,0,,authenticated_user,candidate,,0,1,0,,read,1,recommended,unknown,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source,remove_fixed_role;define_semantic_permission;preserve_active_mfa_log;add_http_security_tests
backoffice.security.mfa.confirm,backoffice/security/mfa/{mfaDevice}/confirm,POST,"App\Http\Controllers\Backoffice\Security\MfaController",confirm,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,"App\Policies\MfaDevicePolicy",view,inferred,"App\Http\Requests\ConfirmMfaRequest",custom,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\MfaDevice",mutation,1,required,confirmed,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection|policy_discovery,remove_fixed_role;define_semantic_permission;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.security.mfa.disable,backoffice/security/mfa/{mfaDevice}/disable,POST,"App\Http\Controllers\Backoffice\Security\MfaController",disable,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,"App\Policies\MfaDevicePolicy",view,inferred,"App\Http\Requests\DisableMfaRequest",custom,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\MfaDevice",mutation,1,required,confirmed,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection|policy_discovery,remove_fixed_role;define_semantic_permission;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.security.mfa.enable,backoffice/security/mfa/enable,POST,"App\Http\Controllers\Backoffice\Security\MfaController",enable,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,,,missing,"App\Http\Requests\EnableMfaRequest",custom,,0,,authenticated_user,candidate,,0,1,0,,mutation,1,required,confirmed,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection,remove_fixed_role;define_semantic_permission;preserve_active_mfa_log;add_http_security_tests
backoffice.security.mfa.index,backoffice/security/mfa,GET,"App\Http\Controllers\Backoffice\Security\MfaController",index,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,,,missing,,none,,0,,authenticated_user,candidate,,0,1,0,,read,1,recommended,unknown,1,administration_security,"Administração e segurança",47A,critical,low,route_name_reference,tests/Feature/Security/ApplicationFeatureEntitlementAccessTest.php|tests/Feature/Security/AuthorizationFeedbackDirectUrlTest.php|tests/Feature/Security/MfaEnforcementBackofficeTest.php|tests/Feature/Security/PermissionMatrixTest.php|tests/Feature/Security/PermissionSensitiveMfaTest.php|tests/Feature/Sprint18RgpdSecurityAuditTest.php,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|existing_test_route_reference,remove_fixed_role;define_semantic_permission;preserve_active_mfa_log;add_http_security_tests
backoffice.security.mfa.recovery-codes.regenerate,backoffice/security/mfa/recovery-codes/regenerate,POST,"App\Http\Controllers\Backoffice\Security\MfaController",regenerate,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,,,missing,"App\Http\Requests\RegenerateRecoveryCodesRequest",custom,,0,,authenticated_user,candidate,,0,1,0,,mutation,1,required,confirmed,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection,remove_fixed_role;define_semantic_permission;preserve_active_mfa_log;add_http_security_tests
backoffice.security.mfa.verify,backoffice/security/mfa/verify,POST,"App\Http\Controllers\Backoffice\Security\MfaController",verify,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,,,missing,"App\Http\Requests\VerifyMfaChallengeRequest",custom,,0,,authenticated_user,candidate,,0,1,0,,mutation,1,required,confirmed,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection,remove_fixed_role;define_semantic_permission;preserve_active_mfa_log;add_http_security_tests
backoffice.security.permission-reviews.complete,backoffice/security/permission-reviews/{permissionReview}/complete,POST,"App\Http\Controllers\Backoffice\Security\PermissionReviewController",complete,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,"App\Policies\PermissionReviewPolicy",view,inferred,"App\Http\Requests\CompletePermissionReviewRequest",custom,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\PermissionReview",mutation,1,required,confirmed,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection|policy_discovery,remove_fixed_role;define_semantic_permission;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.security.permission-reviews.index,backoffice/security/permission-reviews,GET,"App\Http\Controllers\Backoffice\Security\PermissionReviewController",index,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,"App\Policies\PermissionReviewPolicy",viewAny,inferred,,none,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\PermissionReview",read,1,recommended,unknown,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery,remove_fixed_role;define_semantic_permission;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.security.permission-reviews.show,backoffice/security/permission-reviews/{permissionReview},GET,"App\Http\Controllers\Backoffice\Security\PermissionReviewController",show,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,"App\Policies\PermissionReviewPolicy",view,inferred,,none,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\PermissionReview",read,1,recommended,unknown,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery,remove_fixed_role;define_semantic_permission;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.security.permission-reviews.store,backoffice/security/permission-reviews,POST,"App\Http\Controllers\Backoffice\Security\PermissionReviewController",store,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,"App\Policies\PermissionReviewPolicy",view,inferred,"App\Http\Requests\StorePermissionReviewRequest",custom,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\PermissionReview",mutation,1,required,confirmed,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection|policy_discovery,remove_fixed_role;define_semantic_permission;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.security.privacy.anonymization.approve,backoffice/security/privacy/anonymization/{anonymizationRequest}/approve,POST,"App\Http\Controllers\Backoffice\Security\PrivacyController",approveAnonymization,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,privacy.approve,0,"App\Policies\AnonymizationRequestPolicy",,missing,,none,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\AnonymizationRequest",mutation,1,required,confirmed,1,administration_security,"Administração e segurança",47A,critical,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:privacy.approve;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.security.privacy.anonymization.index,backoffice/security/privacy/anonymization,GET,"App\Http\Controllers\Backoffice\Security\PrivacyController",anonymization,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,privacy.view,0,,,missing,,none,,0,,authenticated_user,candidate,,0,1,0,,read,1,recommended,unknown,1,administration_security,"Administração e segurança",47A,critical,medium,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|permission_catalog,remove_fixed_role;apply_permission:privacy.view;preserve_active_mfa_log;add_http_security_tests
backoffice.security.privacy.anonymization.run,backoffice/security/privacy/anonymization/{anonymizationRequest}/run,POST,"App\Http\Controllers\Backoffice\Security\PrivacyController",runAnonymization,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,"App\Policies\AnonymizationRequestPolicy",view,inferred,,none,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\AnonymizationRequest",mutation,1,required,confirmed,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery,remove_fixed_role;define_semantic_permission;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.security.privacy.anonymization.show,backoffice/security/privacy/anonymization/{anonymizationRequest},GET,"App\Http\Controllers\Backoffice\Security\PrivacyController",showAnonymization,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,privacy.view,0,"App\Policies\AnonymizationRequestPolicy",view,inferred,,none,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\AnonymizationRequest",read,1,recommended,unknown,1,administration_security,"Administração e segurança",47A,critical,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:privacy.view;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.security.privacy.anonymization.store,backoffice/security/privacy/anonymization,POST,"App\Http\Controllers\Backoffice\Security\PrivacyController",storeAnonymization,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,privacy.create,0,,,missing,"App\Http\Requests\StoreAnonymizationRequestRequest",custom,,0,,authenticated_user,candidate,,0,1,0,,mutation,1,required,confirmed,1,administration_security,"Administração e segurança",47A,critical,medium,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection|permission_catalog,remove_fixed_role;apply_permission:privacy.create;preserve_active_mfa_log;add_http_security_tests
backoffice.security.privacy.exports.download,backoffice/security/privacy/exports/{dataExportPackage}/download,GET,"App\Http\Controllers\Backoffice\Security\PrivacyController",downloadExport,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor|active.backoffice|mfa.backoffice|log.backoffice",1,1,1,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,"App\Policies\DataExportPackagePolicy",view,inferred,,none,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\DataExportPackage",read,1,recommended,confirmed,1,administration_security,"Administração e segurança",47A,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery,remove_fixed_role;define_semantic_permission;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
